n_txns,n_deposit,n_borrow,n_repay,n_redeem,n_liquidation,total_deposit_amount,total_borrow_amount,total_repay_amount,avg_txn_amount,active_days,asset_diversity,borrow_to_repay_ratio,rule_score
22,8,6,4,4,0,18.11265598809861,3.5e-11,3.5002269e-11,0.8284232718622504,3,3,3.500104396346128e-05,572.03
1,1,0,0,0,0,1.2,0.0,0.0,1.2,1,1,0.0,563.35
2,1,0,0,1,0,56.0,0.0,0.0,56.046171763714256,2,2,0.0,568.21
25,7,6,3,9,0,9.284729019012138,1.76e-08,1.7614321012999998e-08,36.66689226745603,6,4,0.017309670806800313,573.88
73,26,19,13,15,0,40826323.5352715,34310340.19342126,34316052.3316077,2057673.7106643694,3,5,1.0001664844520117,655.95
96,32,30,17,17,0,1529.6965019179293,793.5281590685303,793.5551142167783,48.40144177342126,2,2,1.0000339674753895,646.78
8,3,1,1,3,0,593.2331634086889,140.0,140.04910116409684,152.91028307159823,4,2,1.0003507154553295,629.58
4,1,1,1,1,0,4500.0,739.0,739.0,2619.5,1,2,0.99999999864682,629.76
4,2,1,1,0,0,236.75989569912272,2.608976e-12,2.608976e-12,59.18997392478199,1,2,2.60896919326199e-06,570.32
2,2,0,0,0,0,3.0,0.0,0.0,1.5,2,1,0.0,564.88
231,101,24,93,11,2,11486.621116412447,4923.462755855,933.385959030951,75.11939351054424,31,7,0.18957916513766368,657.18
1,0,0,0,1,0,0.0,0.0,0.0,0.005000954281830769,1,1,0.0,562.36
1,1,0,0,0,0,0.0926,0.0,0.0,0.0926,1,1,0.0,562.47
2,2,0,0,0,0,2.455392e-12,0.0,0.0,1.227696e-12,2,1,0.0,563.15
36,10,6,9,11,0,169.93360966012304,1.8156827223999997e-08,1.8162323502999995e-08,9.440816609692241,12,3,0.017838434136437986,588.73
30,19,2,0,9,0,4140.69156227058,943.3796318126906,0.0,241.87469064853366,18,5,0.0,586.11
19,10,7,0,2,0,1437.821754944003,475.5336760005915,0.0,157.19081215497863,9,5,0.0,577.74
2,1,0,0,1,0,1.4127252e-11,0.0,0.0,1.4127264000000001e-11,1,1,0.0,562.36
2,1,1,0,0,0,0.0221,0.005,0.0,0.013550000000000001,1,1,0.0,562.39
1,1,0,0,0,0,0.0963,0.0,0.0,0.0963,1,1,0.0,562.48
54,15,13,10,16,0,1530.4922101147495,1420.0272528224161,0.6407402824712978,66.58181163600672,21,6,0.0004512168909058323,598.24
4,1,1,1,1,0,102.35,61.0,61.0,81.675,1,2,0.9999999836065577,625.03
72,72,0,0,0,0,0.00026000000000046006,0.0,0.0,3.6111111111175006e-06,11,3,0.0,570.19
2,2,0,0,0,0,2.2e-12,0.0,0.0,1.1e-12,2,1,0.0,563.15
22,9,2,2,9,0,14.628276542630129,1.1218159999999999e-12,1.12182e-12,1.3370927428188377,8,3,1.1218187415257867e-06,573.49
5,0,1,2,2,0,0.0,7.9209353e-11,1.58517071e-10,37.473733679097066,2,3,0.00015850451595984325,565.36
1,1,0,0,0,0,0.1,0.0,0.0,0.1,1,1,0.0,562.48
2,1,1,0,0,0,0.4118976558352786,5e-10,0.0,0.2059488281676393,1,2,0.0,562.8
32,10,6,7,9,0,39.14713099487479,2.34424601e-10,2.3455510500000003e-10,1.2233478436148437,6,3,0.00023450013240002774,578.62
45,12,10,9,14,0,114845.04979413797,5.4452832761e-08,5.4495849398000005e-08,4756.227622753872,5,4,0.05168163781712929,594.05
2,2,0,0,0,0,0.006240750099327032,0.0,0.0,0.003120375049663516,2,2,0.0,563.15
2,2,0,0,0,0,2.0000000000000098,0.0,0.0,1.0000000000000049,2,2,0.0,564.52
1,1,0,0,0,0,0.006461144026105417,0.0,0.0,0.006461144026105417,1,1,0.0,562.37
1,1,0,0,0,0,1.109087e-12,0.0,0.0,1.109087e-12,1,1,0.0,562.36
1,1,0,0,0,0,1.8485e-14,0.0,0.0,1.8485e-14,1,1,0.0,562.36
6,5,0,0,1,0,918.9004126574749,0.0,0.0,203.1500687762458,5,2,0.0,574.05
1,1,0,0,0,0,2.3783e-14,0.0,0.0,2.3783e-14,1,1,0.0,562.36
1,0,0,0,1,0,0.0,0.0,0.0,2.01203094263e-06,1,1,0.0,562.36
2,2,0,0,0,0,1.1352405889685975,0.0,0.0,0.5676202944842987,2,2,0.0,564.1
1,1,0,0,0,0,0.004440486156185637,0.0,0.0,0.004440486156185637,1,1,0.0,562.37
1,1,0,0,0,0,1.5,0.0,0.0,1.5,1,1,0.0,563.51
2,2,0,0,0,0,2.2e-12,0.0,0.0,1.1e-12,2,1,0.0,563.15
2,2,0,0,0,0,1.4997723999999998e-11,0.0,0.0,7.498861999999999e-12,1,1,0.0,562.36
1,1,0,0,0,0,4.999194e-12,0.0,0.0,4.999194e-12,1,1,0.0,562.36
2,2,0,0,0,0,0.012625001510457944,0.0,0.0,0.006312500755228972,2,1,0.0,563.16
1,0,0,0,1,0,0.0,0.0,0.0,1.012775168e-09,1,1,0.0,562.36
1,1,0,0,0,0,0.025,0.0,0.0,0.025,1,1,0.0,562.39
44,30,9,2,3,0,3037.9081544958253,2356.8,2359.3073098584405,245.29306680004856,16,1,1.0010638615314733,642.15
1,1,0,0,0,0,0.1,0.0,0.0,0.1,1,1,0.0,562.48
2,1,1,0,0,0,0.0342,0.005,0.0,0.0196,1,1,0.0,562.41
10,4,3,1,2,0,1.01169192e-10,5.7074003000000007e-11,5.7090279e-11,3.1651425200000004e-11,2,2,5.708702081520274e-05,564.25
1,1,0,0,0,0,0.000450246121481307,0.0,0.0,0.000450246121481307,1,1,0.0,562.36
1,1,0,0,0,0,1.851978e-12,0.0,0.0,1.851978e-12,1,1,0.0,562.36
1,1,0,0,0,0,0.097,0.0,0.0,0.097,1,1,0.0,562.48
30,17,7,5,1,0,81.3897714859498,68.2017201665017,3.201720166501698,5.093107060632161,9,5,0.04694485874755711,583.34
1,1,0,0,0,0,1.880888e-12,0.0,0.0,1.880888e-12,1,1,0.0,562.36
13,6,2,2,3,0,0.2005527675217746,1.5189929700000001e-09,1.519063995e-09,0.015427136512300713,3,2,0.0015167600471512005,566.48
1,1,0,0,0,0,7.200645e-12,0.0,0.0,7.200645e-12,1,1,0.0,562.36
1,1,0,0,0,0,0.0472,0.0,0.0,0.0472,1,1,0.0,562.42
2,2,0,0,0,0,2.5999999999999996,0.0,0.0,1.2999999999999998,2,1,0.0,564.75
1,1,0,0,0,0,1.107978e-12,0.0,0.0,1.107978e-12,1,1,0.0,562.36
41,12,10,5,14,0,1430.6196595258768,674.3817858193419,1.5406925999999998e-11,111.23034449300931,11,6,2.2845999552664836e-14,584.8
2,2,0,0,0,0,3.1451769999999996e-12,0.0,0.0,1.5725884999999998e-12,1,1,0.0,562.36
1,1,0,0,0,0,1.15122e-12,0.0,0.0,1.15122e-12,1,1,0.0,562.36
5,2,1,1,1,0,1.000000000005134,2.726309e-12,2.726309e-12,0.20000000000314405,2,2,2.7263015672595003e-06,565.11
253,98,64,38,53,0,79326.48299989014,33426.62489293028,8000.894335516523,632.8770408430586,60,8,0.2393569306175854,681.71
1,1,0,0,0,0,0.004674990964187967,0.0,0.0,0.004674990964187967,1,1,0.0,562.37
29,5,5,16,3,0,15200.0000000005,4.500000000000001e-09,1.380602617e-09,524.1379310347546,16,4,0.0013744177371826781,603.87
85,32,13,15,25,0,9561.601228095396,4.2533281825e-08,4.2583466718e-08,112.69848265814555,14,7,0.04084614607550541,603.74
4,1,1,1,1,0,21457.000000000004,2500.0,2500.0,11978.500000000002,1,2,0.9999999996000001,631.72
6,1,0,0,5,0,1.5e-11,0.0,0.0,14.180272085557533,4,3,0.0,564.71
1,1,0,0,0,0,1.2183e-14,0.0,0.0,1.2183e-14,1,1,0.0,562.36
108,61,26,12,9,0,3811.9796786499373,150.0000000029125,2.509969106e-09,53.536842307889394,34,6,1.6733127261454252e-11,611.72
2,0,0,0,2,0,0.0,0.0,0.0,2.24210978835e-08,1,2,0.0,562.36
58,35,23,0,0,0,9647.786848111267,4950.000000006152,0.0,251.68598013995546,25,6,0.0,592.64
1,1,0,0,0,0,0.006764030347976762,0.0,0.0,0.006764030347976762,1,1,0.0,562.37
3,1,0,0,2,0,1.97e-10,0.0,0.0,1.31660491e-10,3,1,0.0,563.93
2,2,0,0,0,0,2.2e-12,0.0,0.0,1.1e-12,2,1,0.0,563.15
1,1,0,0,0,0,0.000165694780930095,0.0,0.0,0.000165694780930095,1,1,0.0,562.36
67,37,11,11,8,0,94406.7062908613,54048.120000071176,54176.051704975354,4435.396537252355,31,6,1.002366996371042,668.14
1,1,0,0,0,0,0.000512154521788658,0.0,0.0,0.000512154521788658,1,1,0.0,562.36
2,2,0,0,0,0,3.2765593476e-08,0.0,0.0,1.6382796738e-08,1,2,0.0,562.36
16,8,7,1,0,0,4145.0,550.0000000038,1.806279483e-09,293.4375000003504,7,3,3.2841445085515926e-12,578.6
1,1,0,0,0,0,1.0711849113594032,0.0,0.0,1.0711849113594032,1,1,0.0,563.28
2,2,0,0,0,0,30.0,0.0,0.0,15.0,1,2,0.0,566.67
523,179,154,148,42,0,2052357.9688830937,3755628.4400034146,433843.3215427062,12594.375287507488,98,7,0.11551816918880194,828.01
5,0,0,0,5,0,0.0,0.0,0.0,4.011861089263999e-07,4,2,0.0,564.71
162,59,45,21,37,0,52837322.65103468,34964600.0,35002998.465161115,1084428.8688291188,12,2,1.0010982097653087,672.15
1,1,0,0,0,0,476.0,0.0,0.0,476.0,1,1,0.0,570.1
5,0,0,0,5,0,0.0,0.0,0.0,13.097377256063703,3,3,0.0,563.93
26,14,8,2,2,0,1404.3899585496097,333.2233623786781,9.13894665e-10,66.83128157426636,8,3,2.7425888020986146e-12,579.13
1,1,0,0,0,0,10.0,0.0,0.0,10.0,1,1,0.0,565.37
27,7,8,7,5,0,676.4733088455184,165.00000000125,150.04200209250885,45.11053782970914,5,5,0.9093454617092529,633.38
11,9,1,0,1,0,600.961657610252,500.0,0.0,100.087423419132,6,4,0.0,574.3
1,1,0,0,0,0,0.00399259698589263,0.0,0.0,0.00399259698589263,1,1,0.0,562.37
43,9,14,14,6,0,1887.5272977127174,2020.0000000024008,1400.2145576161925,142.04039378873978,9,5,0.6931755232283924,635.83
12,4,2,2,4,0,1403.6387132020113,427.4986215513806,431.1109504544957,305.23514200336575,3,3,1.0084499170583432,631.3
